part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source,cut_time_s,cut_min
713-187739-236,10,1,Face (Roughing),C-RF-80 MM-45DEG LEAD-FACEMILL,face_mill,80,4,10,50,,800,,5000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,33,0.55
713-187739-236,10,2,Face (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4500,,10000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,36,0.6
713-187739-236,10,3,Face (Finishing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,2000,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,10,0.167
713-187739-236,10,4,Step (Finishing),10 MM X 35-2FL-CHIP BREAKER-END MILL,end_mill,10,2,35,40,,1000,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,9,0.15
713-187739-236,10,5,Undercut (Finishing),12MM X60DEG DOVETAIL-FAP11481,dovetail,12,4,6,25,,400,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,22,0.367
713-187739-236,10,6,Pocket (Finishing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,25,,600,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,27,0.45
713-187739-236,20,1,Face (Roughing),C-RF-80 MM-45DEG LEAD-FACEMILL,face_mill,80,4,10,50,,800,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,33,0.55
713-187739-236,20,2,Face (Finishing),C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,600,,5500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,6,0.1
713-187739-236,20,3,Drilled Hole (Roughing),C-RF-12 MM X 90 DEG-4FL-UNC-CHAMFER MILL,chamfer_mill,12,4,6,40,,300,,3500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,2,0.033
713-187739-236,20,4,Drilled Hole (Finishing),9.6MMCARBIDE DRILLCL45TL90,drill,9.6,2,45,50,,200,,1000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,11,0.183
713-187739-236,20,5,Drilled Hole (Finishing),9.6MMCARBIDE DRILLCL45TL90,drill,9.6,2,45,50,,200,,1000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,19,0.317
713-187739-236,20,6,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,88,1.467
713-187739-236,20,7,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,56,0.933
713-187739-236,20,8,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
713-187739-236,20,9,Boss (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,18,0.3
713-187739-236,20,10,Boss (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
713-187739-236,20,11,Blind Hole (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,800,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,17,0.283
713-187739-236,20,12,Face (Roughing),4 MM X 10-2FL-END MILL,end_mill,4,2,10,25,,2500,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,4,0.067
713-187739-236,20,13,Face (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,52,0.867
713-187739-236,20,14,Face (Roughing),12MM CL30-3FL-CHIP BREAKER ENDMILL,end_mill,12,3,30,55,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,39,0.65
713-187739-236,20,15,Pocket (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,7,0.117
713-187739-236,20,16,Pocket (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
713-187739-236,20,17,Blind Hole (Roughing),10 MM X 35-2FL-END MILL,end_mill,10,2,35,55,,900,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,28,0.467
713-187739-236,20,18,Pocket (Roughing),4 MM X 10-2FL-END MILL,end_mill,4,2,10,25,,2000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
713-187739-236,20,19,Fillet (Finishing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,46,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,123,2.05
713-187739-236,20,20,Fillet (Finishing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,46,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,77,1.283
713-187739-236,20,21,Face (Finishing),10 MM X 35-2FL-FINISH-END MILL,end_mill,10,2,35,50,,600,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,76,1.267
713-187739-236,20,22,Face (Finishing),10 MM X 35-2FL-FINISH-END MILL,end_mill,10,2,35,50,,600,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,52,0.867
713-187739-236,20,23,Face (Finishing),10 MM X 35-2FL-FINISH-END MILL,end_mill,10,2,35,50,,600,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,76,1.267
713-187739-236,20,24,Face (Finishing),10 MM X 35-2FL-FINISH-END MILL,end_mill,10,2,35,50,,600,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,52,0.867
713-187739-236,20,25,Step (Finishing),10 MM X 35-2FL-FINISH-END MILL,end_mill,10,2,35,50,,900,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,9,0.15
713-187739-236,20,26,Step (Finishing),C-F-6 MM X 25-2FL-FULLERTON--END MILL,end_mill,6,2,25,35,,900,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,5,0.083
713-187739-236,20,27,Pocket (Finishing),4 MM X 10-2FLFINISH-END MILL,end_mill,4,2,10,25,,900,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,67,1.117
713-187739-236,20,28,Pocket (Finishing),4 MM X 10-2FLFINISH-END MILL,end_mill,4,2,10,25,,500,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,18,0.3
713-187739-236,20,29,Fillet (Finishing),4XR0.3-BULL MILL CL8 DURA,bull_mill,4,4,8,25,,600,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,4,0.067
713-187739-236,20,30,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON--END MILL,end_mill,6,2,25,35,,550,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,51,0.85
713-187739-236,20,31,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON--END MILL,end_mill,6,2,25,35,,550,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,51,0.85
713-187739-236,20,32,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON--END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,12,0.2
713-187739-236,20,33,Pocket (Finishing),10xR1 MM X 25-4FL-BULL MILL-FAP00030,bull_mill,10,2,35,55,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,19,0.317
713-187739-236,20,34,Pocket (Finishing),10xR1 MM X 25-4FL-BULL MILL-FAP00030,bull_mill,10,2,35,55,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,20,0.333
713-187739-236,20,35,Through Hole (Finishing),10xR0.5-BULLMILL-CL25TL75-GET-4F,bull_mill,10,4,25,53,,900,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,25,0.417
713-187739-236,20,36,Fillet (Finishing),R0.5 -TIP 1.5 CORNERRADIUS TOOL 4MM- DURA-CCR04000050,radius_mill,1.5,4,0.5,30,,777,,5555,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,4,0.067
713-187739-236,20,37,Drilled Hole (Roughing),C-RF-12 MM X 90 DEG-4FL-UNC-CHAMFER MILL,chamfer_mill,12,4,6,40,,200,,3500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,4,0.067
713-187739-236,20,38,Drilled Hole (Finishing),5.2MMCARBIDE DRILL CL25,drill,5.2,2,35,35,,150,,1200,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,13,0.217
713-187739-236,20,39,Thread (Finishing),M5X0.8 D3.9CL10ND2.7NL25 MYOOK THREAD MILL FULL PITCH,thread_mill,3.9,3,5,28,,150,,3000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,92,1.533
713-187739-236,20,40,Chamfer (Finishing),C-RF-12 MM X 120 DEG-4FL-UNC- CHAMFER MILL,chamfer_mill,12,4,6,40,,100,,3500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,404,6.733
713-187739-236,20,41,Chamfer (Finishing),C-F-3 MM X 90 DEG-2FL-UNC-CHAMFER MILL,chamfer_mill,3,2,5,25,,635,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,2,0.033
713-187739-236,20,42,Chamfer (Finishing),C-F-3 MM X 90 DEG-2FL-UNC-CHAMFER MILL,chamfer_mill,3,2,5,25,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,12,0.2
713-187739-236,20,43,Chamfer (Finishing),C-F-3 MM X 90 DEG-2FL-UNC-CHAMFER MILL,chamfer_mill,3,2,5,25,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,14,0.233
713-187739-236,20,44,Through Hole (Roughing),6 MMx90 DEG-2FL- SPOT DRILL,drill,6,2,20,55,,100,,4000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,4,0.067
713-187739-236,20,45,Through Hole (Roughing),5MM CARBIDE DRILL LONG,drill,5,2,70,70,,100,,1400,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,12,0.2
713-187739-236,20,46,Through Hole (Roughing),3MM NL40-UNION TOOL SH 6MM,ball_mill,3,4,5,64,,400,,4500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,83,1.383
713-187739-236,20,47,Through Hole (Roughing),3MM NL40-UNION TOOL SH 6MM,ball_mill,3,4,5,64,,300,,4500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,128,2.133
713-187739-236,20,48,Drilled Hole (Roughing),C-RF-12 MM X 90 DEG-4FL-UNC-CHAMFER MILL,chamfer_mill,12,4,6,40,,200,,3500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,1,0.017
713-187739-236,20,49,Drilled Hole (Finishing),4.2MM CARBIDE DRILL,drill,4.2,2,35,35,,150,,1200,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,8,0.133
713-187739-236,20,50,Thread (Finishing),M5X0.8 D3.9CL10ND2.7NL25 MYOOK THREAD MILL FULL PITCH,thread_mill,3.9,3,5,28,,150,,3000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,31,0.517
713-187739-236,20,51,,P-RF-0.8 MM X 2-2FL-UNC-BALL MILL,ball_mill,0.8,2,2,20,,200,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,31,0.517
713-187739-236,20,52,,C-F-6 MM X 25-2FL-FULLERTON--END MILL,end_mill,6,2,25,35,,1500,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,1,0.017
713-187739-236,20,53,Debur (Finishing),4XR0.3-BULL MILL CL8 DURA,bull_mill,4,4,8,25,,1500,,12000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,41,0.683
713-187739-236,30,1,Face (Roughing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2400,,8000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,18,0.3
713-187739-236,30,2,Face (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,600,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,14,0.233
713-187739-236,30,3,Face (Roughing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,107,1.783
713-187739-236,30,4,Face (Roughing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2300,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,34,0.567
713-187739-236,30,5,Face (Roughing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2700,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,13,0.217
713-187739-236,30,6,Face (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,900,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,10,0.167
713-187739-236,30,7,Face (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,38,0.633
713-187739-236,30,8,Pocket (Roughing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,47,0.783
713-187739-236,30,9,Pocket (Finishing),12 MM X CL30-3FL-CHIP BREAKER-END MILL,end_mill,12,3,30,55,,2700,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,76,1.267
713-187739-236,30,10,Pocket (Finishing),10xR0.5-BULLMILL-CL25TL75-GET-4F,bull_mill,10,4,25,53,,2500,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,332,5.533
713-187739-236,30,11,Pocket (Finishing),C-F-12 MM X 55-2FL-UNC-END MILL,end_mill,12,2,55,70,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,21,0.35
713-187739-236,30,12,Pocket (Finishing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,30,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,7,0.117
713-187739-236,30,13,Pocket (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,42,0.7
713-187739-236,30,14,Pocket (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,17,0.283
713-187739-236,30,15,Fillet (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,8,0.133
713-187739-236,30,16,Fillet (Finishing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,9,0.15
713-187739-236,30,17,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,71,1.183
713-187739-236,30,18,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,34,0.567
713-187739-236,30,19,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,400,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,19,0.317
713-187739-236,30,20,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,500,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,45,0.75
713-187739-236,30,21,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,9,0.15
713-187739-236,30,22,Pocket (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,6,0.1
713-187739-236,30,23,Fillet (Finishing),6xR1 MM X 25-4FL-BULL MILL-,bull_mill,6,4,25,50,,600,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,10,0.167
713-187739-236,30,24,Fillet (Finishing),6xR1 MM X 25-4FL-BULL MILL-,bull_mill,6,4,25,50,,600,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,3,0.05
713-187739-236,30,25,Through Hole (Roughing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,200,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,48,0.8
713-187739-236,30,26,Through Hole (Finishing),C-F-6 MM X 25-2FL-FULLERTON-END MILL- FINISH,end_mill,6,2,25,35,,200,,4500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,11,0.183
713-187739-236,30,27,Through Hole (Roughing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,30,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,27,0.45
713-187739-236,30,28,Through Hole (Finishing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,30,,400,,4500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,15,0.25
713-187739-236,30,29,Blind Hole (Finishing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,30,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,2,0.033
713-187739-236,30,30,Blind Hole (Finishing),R0.5 -TIP 1.5 CORNERRADIUS TOOL 4MM- DURA-CCR04000050,radius_mill,1.5,4,0.5,30,,600,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,1,0.017
713-187739-236,30,31,Chamfer (Finishing),4 MM X 50 DEG-FULL-CHAMFER MILL- FAP11390-DURA,chamfer_mill,4,2,6,25,,400,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,15,0.25
713-187739-236,30,32,Chamfer (Finishing),C-F-3 MM X 90 DEG-2FL-UNC-CHAMFER MILL,chamfer_mill,3,2,5,25,,800,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,5,0.083
713-187739-236,30,33,Chamfer (Finishing),C-F-3 MM X 90 DEG-2FL-UNC-CHAMFER MILL,chamfer_mill,3,2,5,25,,800,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,10,0.167
713-187739-236,30,34,Pocket (Roughing),1.5MM -NL20 LONG NECK END MILL-GET,end_mill,1.5,2,8,28,,300,,7000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,24,0.4
713-187739-236,30,35,Blind Hole (Roughing),3 MM END MILL,end_mill,3,2,8,25,,600,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,25,0.417
713-187739-236,30,36,Blind Hole (Finishing),3 MM END MILL,end_mill,3,2,8,25,,400,,4500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,32,0.533
713-187739-236,30,37,Pocket (Roughing),2 MM END MILL,end_mill,2,2,8,28,,300,,7000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,40,0.667
713-187739-236,30,38,Pocket (Finishing),1.5MM -NL20 LONG NECK END MILL-GET,end_mill,1.5,2,8,28,,200,,7000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,91,1.517
713-187739-236,30,39,Fillet (Finishing),C-RF-6 MM X 25-2FL-UNC-END MILL,end_mill,6,2,25,35,,500,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,2,0.033
713-187739-236,30,40,Fillet (Finishing),3MM X 10-2F-BALL NOSE,ball_mill,3,2,10,30,,3000,,12000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,68,1.133
713-187739-236,30,41,Fillet (Finishing),3MM X 10-2F-BALL NOSE,ball_mill,3,2,10,30,,2000,,12000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,10,0.167
0021-53926,10,1,Face (Finishing),10mm FLAT ENDMILL ALLIED 2F,end_mill,10,2,20,40,,580,,3500,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,354,5.9
0021-53926,10,2,Face (Finishing),10mm FLAT ENDMILL ALLIED 2F,end_mill,10,2,20,40,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,25,0.417
0021-53926,10,3,Step (Finishing),12mm FLAT ENDMILL ALLIED 2F,end_mill,12,2,25,45,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,757,12.617
0021-53926,10,4,Step (Finishing),10mm FLAT ENDMILL ALLIED 2F,end_mill,10,2,20,40,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,194,3.233
0021-53926,10,5,Step (Finishing),10mm FLAT ENDMILL ALLIED 2F,end_mill,10,2,20,40,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,103,1.717
0021-53926,10,6,Pocket (Finishing),3mm FLAT ENDMILL ALLIED 2F,end_mill,3,2,8,25.4,,50,,1500,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,35,0.583
0021-53926,10,7,Pocket (Finishing),3mm FLAT ENDMILL ALLIED 2F,end_mill,3,2,8,25.4,,200,,5000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,274,4.567
0021-53926,20,1,Face (Roughing),12mm FLAT ENDMILL ALLIED 2F,end_mill,12,2,25,45,,800,,4000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,477,7.95
0021-53926,20,2,Pocket (Roughing),6mm FLAT ENDMILL ALLIED 2F,end_mill,6,2,25,30,,1600,,6000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,1598,26.633
0021-53926,20,3,Face (Roughing),10mm FLAT ENDMILL ALLIED 2F,end_mill,10,2,20,40,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,305,5.083
0021-53926,20,4,Pocket (Finishing),6MM ENDMILL-CL25-FINISHING -2F,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,557,9.283
0021-53926,20,5,Pocket (Finishing),6MM ENDMILL-CL25-FINISHING -2F,end_mill,6,2,25,35,,1000,,6000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,104,1.733
0021-53926,20,6,Face (Finishing),C-F-10 MM X 35-2FL-UNC-END MILL- ONSRUD-PCL590167,end_mill,10,2,35,40,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,102,1.7
0021-53926,20,7,Pocket (Roughing),45 DEG SPECIAL TOOL SHK DIA 16,dovetail,16,4,19.273,57.82,,1000,,2500,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,66,1.1
0021-53926,20,8,Pocket (Roughing),45 DEG SPECIAL TOOL SHK DIA 16,dovetail,16,4,19.273,57.82,,1000,,2500,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,64,1.067
0021-53926,20,9,Face (Finishing),C-F-10 MM X 35-2FL-UNC-END MILL- ONSRUD-PCL590167,end_mill,10,2,35,40,,800,,4000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,60,1.0
0021-53926,20,10,Chamfer (Finishing),12mm SPOTDRILL 90 DEG DURA,drill,12,2,6,50.8,,800,,4000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,53,0.883
0021-53926,30,1,Step (Roughing),12mm FLAT ENDMILL ALLIED 2F,end_mill,12,2,25,45,,500,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,553,9.217
0021-53926,30,2,Step (Roughing),6mm FLAT ENDMILL ALLIED 2F,end_mill,6,2,25,30,,500,,6000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,295,4.917
0021-53926,30,3,Step (Finishing),6MM ENDMILL-CL25-FINISHING -2F,end_mill,6,2,25,35,,500,,6000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,14,0.233
0021-53926,30,4,Pocket (Finishing),3mm FLAT ENDMILL ALLIED 2F,end_mill,3,2,8,25.4,,200,,5000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,116,1.933
0021-53926,30,5,Drilled Hole (Roughing),12mm SPOTDRILL 90 DEG DURA,drill,12,2,6,50.8,,400,,4000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,0,0.0
0021-53926,30,6,Drilled Hole (Finishing),DIA 4.3 SOLID CARBIDE DRILL,drill,4.3,2,44,55,,200,,2000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,2,0.033
0021-53926,30,7,Thread (Finishing),C-RF-M5 X 0.8-12 PITCH-D3.9-NL25-UNC- THREAD MILL-MYOOK,thread_mill,3.9,3,10,25,,225,,3000,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,5,0.083
0021-53926,40,1,Pocket (Roughing),6mm FLAT ENDMILL ALLIED 2F,end_mill,6,2,25,30,,500,,6400,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,451,7.517
0021-53926,40,2,Pocket (Finishing),6MM ENDMILL-CL25-FINISHING -2F,end_mill,6,2,25,35,,300,,6400,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,999,16.65
0021-53926,40,3,Pocket (Finishing),6MM ENDMILL-CL25-FINISHING -2F,end_mill,6,2,25,35,,300,,6400,,,PEEK,Fanuc Robodrill L T21iFLb,kb_data_xlsx_2026-05-22,359,5.983
